person,conjugation,gloss,tense,tense_base,tense_translation,preverb,preverb_translation,preverb_base,verb,verb_base,verb_type,verb_translation,subject,subject_translation,subject_base,mode,mode_translation,mode_base
3,kahatihapiyiwa,3-fut_def-ati-apiVAI-3'-ind-,fut_def,ka,future definite,ati,begin to,ati,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,kahatimîcisoyiwa,3-fut_def-ati-mîcisoVAI-3'-ind-,fut_def,ka,future definite,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,kanitawihapiyiwa,3-fut_def-nitawi-apiVAI-3'-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,kanitawimîcisoyiwa,3-fut_def-nitawi-mîcisoVAI-3'-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,kapehapiyiwa,3-fut_def-pe-apiVAI-3'-ind-,fut_def,ka,future definite,pe,come and,pe,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,kapemîcisoyiwa,3-fut_def-pe-mîcisoVAI-3'-ind-,fut_def,ka,future definite,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,kahapiyiwa,3-fut_def-NONE-apiVAI-3'-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,kamîcisoyiwa,3-fut_def-NONE-mîcisoVAI-3'-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,wîhatihapiyiwa,3-fut_int-ati-apiVAI-3'-ind-,fut_int,wî,future intentional,ati,begin to,ati,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,wîhatimîcisoyiwa,3-fut_int-ati-mîcisoVAI-3'-ind-,fut_int,wî,future intentional,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,wînitawihapiyiwa,3-fut_int-nitawi-apiVAI-3'-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,wînitawimîcisoyiwa,3-fut_int-nitawi-mîcisoVAI-3'-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
3,wîpehapiyiwa,3-fut_int-pe-apiVAI-3'-ind-,fut_int,wî,future intentional,pe,come and,pe,apiVAI,api,VAI,sit,3',John's son(s),John okosisa,ind,Independent,
3,wîpemîcisoyiwa,3-fut_int-pe-mîcisoVAI-3'-ind-,fut_int,wî,future intentional,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3',John's son(s),John okosisa,ind,Independent,
